date,time,specie,conf
10/29/2022,12:00,Rufous Fantail,0.1375
10/29/2022,12:00,Little Wattlebird,0.1745
10/29/2022,12:00,Spangled Drongo,0.1058
10/29/2022,12:00,Brush Cuckoo,0.1767
10/29/2022,12:00,Australian Magpie,0.2825
10/29/2022,12:00,Eastern Whipbird,0.1666
10/29/2022,12:00,Fan-tailed Cuckoo,0.1027
10/29/2022,12:00,Osprey,0.6216
10/29/2022,12:00,Common Cicadabird,0.6775
10/29/2022,12:00,White-bellied Cuckooshrike,0.1036
10/29/2022,12:00,Leaden Flycatcher,0.1407
10/29/2022,12:00,Cattle Egret,0.1329
10/29/2022,12:00,Dollarbird,0.1164
10/29/2022,13:00,Bar-shouldered Dove,0.956
10/29/2022,13:00,Willie-wagtail,0.9908
10/29/2022,13:00,Rufous Whistler,0.3185
10/29/2022,13:00,Gray Shrikethrush,0.4752
10/29/2022,13:00,Pied Butcherbird,0.1807
10/29/2022,13:00,Gray-crowned Babbler,0.157
10/29/2022,14:00,Brush Cuckoo,0.978
10/29/2022,14:00,Rufous Fantail,0.1134
10/29/2022,14:00,Forest Kingfisher,0.3125
10/29/2022,14:00,Lewin's Honeyeater,0.3847
10/29/2022,14:00,Leaden Flycatcher,0.1517
10/29/2022,14:00,Australian Magpie,0.1122
10/29/2022,15:00,Eurasian Coot,0.104
10/29/2022,15:00,Little Wattlebird,0.1585
10/29/2022,15:00,Dollarbird,0.1357
10/29/2022,15:00,Black-faced Cuckooshrike,0.2876
10/29/2022,15:00,Pied Butcherbird,0.3044
10/29/2022,15:00,Gray Shrikethrush,0.2324
10/29/2022,15:00,Yellow-faced Honeyeater,0.1015
10/29/2022,16:00,Black-faced Cuckooshrike,0.7541
10/29/2022,16:00,Spectacled Monarch,0.7457
10/29/2022,16:00,Gray Shrikethrush,0.9509
10/29/2022,16:00,Fan-tailed Cuckoo,0.1914
10/29/2022,16:00,Yellow-faced Honeyeater,0.1776
10/29/2022,16:00,Leaden Flycatcher,0.1913
10/29/2022,16:00,Australasian Figbird,0.9076
10/29/2022,16:00,Little Wattlebird,0.2506
10/29/2022,16:00,Rufous Fantail,0.2201
10/29/2022,16:00,Common Cicadabird,0.166
10/29/2022,16:00,White-bellied Cuckooshrike,0.1025
10/29/2022,16:00,Forest Kingfisher,0.1836
10/29/2022,16:00,Pied Currawong,0.2792
10/29/2022,16:00,Australian Magpie,0.1379
10/29/2022,16:00,Buff-banded Rail,0.1206
10/29/2022,16:00,White-throated Gerygone,0.1244
10/29/2022,16:00,Yellow-tailed Black-Cockatoo,0.1369
10/29/2022,16:00,Little Friarbird,0.1052
10/29/2022,17:00,Black-faced Cuckooshrike,0.6323
10/29/2022,17:00,White-bellied Cuckooshrike,0.2468
10/29/2022,17:00,Common Cicadabird,0.174
10/29/2022,17:00,Australasian Figbird,0.1548
10/29/2022,17:00,Rufous Fantail,0.1854
10/29/2022,17:00,Fan-tailed Cuckoo,0.4059
10/29/2022,17:00,Leaden Flycatcher,0.1048
10/29/2022,17:00,Great Egret,0.139
10/29/2022,18:00,Willie-wagtail,0.8928
10/29/2022,18:00,Gray Shrikethrush,0.7574
10/29/2022,18:00,Pied Butcherbird,0.3744
10/29/2022,18:00,Australian King-Parrot,0.114
10/29/2022,18:00,Blue-faced Honeyeater,0.9921
10/29/2022,18:00,Rainbow Lorikeet,0.1486
10/29/2022,18:00,White-bellied Cuckooshrike,0.4952
10/29/2022,18:00,Sulphur-crested Cockatoo,0.1242
10/29/2022,18:00,White-throated Honeyeater,0.4371
10/29/2022,18:00,Large-billed Scrubwren,0.1924
10/29/2022,19:00,Willie-wagtail,0.6378
10/29/2022,19:00,Barn Owl,0.1336
10/29/2022,19:00,Australian Magpie,0.1446
10/29/2022,19:00,Cattle Egret,0.4205
10/29/2022,22:00,Rock Pigeon,0.109
10/29/2022,23:00,Barn Owl,0.3878
10/29/2022,23:00,Mallard,0.2974
10/29/2022,23:00,Peregrine Falcon,0.3372
